,Open,High,Low,Close,Volume,year,month,day
4689,32.81449890136719,32.88600158691406,31.3754997253418,31.84950065612793,186290000,2016,1,4
4690,32.34299850463867,32.34550094604492,31.38249969482422,31.68950080871582,116452000,2016,1,5
4691,31.100000381469727,31.989500045776367,31.015499114990234,31.63249969482422,106584000,2016,1,6
4692,31.09000015258789,31.5,30.260499954223636,30.39699935913086,141498000,2016,1,7
4693,30.982999801635746,31.207000732421875,30.299999237060547,30.352500915527344,110258000,2016,1,8
4694,30.624000549316406,30.99250030517578,29.92849922180176,30.886999130249023,97832000,2016,1,11
4695,31.262500762939453,31.29949951171875,30.61199951171875,30.894500732421875,94482000,2016,1,12
4696,31.04400062561035,31.04400062561035,28.95800018310547,29.090499877929688,153104000,2016,1,13
4697,29.012500762939453,30.112499237060547,28.49399948120117,29.649999618530277,144760000,2016,1,14
4698,28.61199951171875,29.231000900268555,28.26499938964844,28.50900077819824,155690000,2016,1,15
4699,28.85449981689453,29.200000762939453,28.32250022888184,28.724000930786133,96144000,2016,1,19
4700,28.218000411987305,28.92250061035156,27.358999252319336,28.588499069213867,159328000,2016,1,20
4701,28.679000854492188,29.44050025939941,28.410999298095703,28.750999450683597,99044000,2016,1,21
4702,29.436500549316406,30.0049991607666,29.20549964904785,29.819000244140625,102402000,2016,1,22
4703,29.89949989318848,30.424999237060547,29.72800064086914,29.826499938964844,87922000,2016,1,25
4704,30.17250061035156,30.225000381469727,29.518999099731445,30.0625,75314000,2016,1,26
4705,30.09950065612793,30.16950035095215,28.93899917602539,29.167499542236328,103058000,2016,1,27
4706,30.418500900268555,31.902999877929688,29.877500534057617,31.76749992370605,280304000,2016,1,28
4707,28.599000930786133,29.649999618530277,28.5,29.350000381469727,293552000,2016,1,29
4708,28.90749931335449,29.09000015258789,28.515499114990234,28.74049949645996,127102000,2016,2,1
4709,28.5,28.577999114990234,27.504499435424805,27.604999542236328,126240000,2016,2,2
4710,27.674999237060547,27.799999237060547,26.09499931335449,26.55349922180176,200974000,2016,2,3
4711,26.25,26.949499130249023,25.961000442504883,26.8129997253418,123982000,2016,2,4
4712,26.464000701904297,26.47249984741211,24.95949935913086,25.10650062561035,194178000,2016,2,5
4713,24.32349967956543,24.674999237060547,23.760499954223636,24.405000686645508,196510000,2016,2,8
4714,23.90049934387207,24.91900062561035,23.700000762939453,24.103500366210938,141558000,2016,2,9
